overtakes_per_lap,lead_changes_per_lap,weather_volatility,safety_car_freq,rating,gp_name,year,pit_stop_intensity,retirement_rate,championship_active,gap_before,gap_after,title_clinched,leader_changed,championship_tension
0.5641025641025641,0.0256410256410256,0.0,0.0,3.593617021276596,Monaco Grand Prix,2021,0.2564102564102564,0.1,1,14.0,4.0,0,1,0.9715
2.9607843137254903,0.1176470588235294,0.0,0.0784313725490196,8.971428571428572,Azerbaijan Grand Prix,2021,1.1764705882352942,0.2,1,4.0,4.0,0,0,0.9914
3.849056603773585,0.0754716981132075,0.0,0.0,8.268072289156628,French Grand Prix,2021,0.4150943396226415,0.0,1,4.0,12.0,0,0,0.9909
2.436619718309859,0.0,0.0,0.0,3.8080072793448583,Styrian Grand Prix,2021,0.3661971830985915,0.1,1,12.0,18.0,0,0,0.971
2.8450704225352115,0.0,0.0,0.0422535211267605,6.577586206896552,Austrian Grand Prix,2021,0.3943661971830985,0.1,1,18.0,32.0,0,0,0.9536
0.9285714285714286,0.0714285714285714,0.0517766497461928,0.0142857142857142,8.857507288629737,Hungarian Grand Prix,2021,0.7714285714285715,0.35,1,8.0,8.0,0,1,0.9756
0.0,0.0,0.0,0.0256410256410256,0.99645390070922,Belgian Grand Prix,2021,0.5128205128205128,0.0,1,8.0,3.0,0,0,0.9735
1.6388888888888888,0.0277777777777777,0.0,0.0,5.443404634581105,Dutch Grand Prix,2021,0.4444444444444444,0.15,1,3.0,3.0,0,1,0.9891
2.206896551724138,0.0689655172413793,0.0,0.0,6.442028985507246,Australian Grand Prix,2026,0.5689655172413793,0.7272727272727273,1,0.0,7.0,0,0,1.0
2.8450704225352115,0.0,0.0,0.056338028169014,7.40546218487395,Mexico City Grand Prix,2025,0.4225352112676056,0.45,1,14.0,1.0,0,1,0.9041
